Element,Type,Flow Name,Load Name,Load New Name
Groundwater Treatment Plant,Out,T_GWTP_to_Water_Needs,T_GWTP_to_Water_Needs_CT,
Groundwater Treatment Plant,Out,T_GWTP_Effluent_EBFR,T_GWTP_effluent_EBFR_CT,
Groundwater Treatment Plant,Out,T_TreatedWater_to_MainWRD_pond,T_TreatedwaterToMainWRDPond_CT,T_TreatedWater_to_MainWRD_pond_CT
Groundwater Treatment Plant,Out,,T_Load_Removed_by_GWTP,
Potable Water Treatment Plant,In,T_Dewater_MainPit_via_PWTP,T_Dewater_MainPit_via_PWTP_CT,
Potable Water Treatment Plant,Out,T_PWTP_to_Water_Needs,T_PWTP_to_Water_Needs_CT,
Potable Water Treatment Plant,Out,T_PWTP_to_top_up_IntermPit,T_PWTP_to_top_up_IntermPit_CT,
Potable Water Treatment Plant,Out,T_PWTP_Effluent_to_EBFR,T_PWTP_effluent_to_EBFR_CT,
Potable Water Treatment Plant,Out,,T_Load_Removed_by_PWTP,
EBFR US,In,T_Runoff_EBFR_US,T_Runoff_EBFR_US_CT,
EBFR US,In,T_Dysons_WRD_Pond_Overflow,T_DysonsWRD_Pond_Overflow_CT,T_Dysons_WRD_Pond_Overflow_CT
EBFR US,In,T_InterflowQ_from_CoveredDyWRD,T_InterflowQFromCoveredDWRD_CT,T_InterflowQ_from_CoveredDyWRD_CT
EBFR US,In,T_Q_Shedby_DysonsWRD_SoilCover,T_QShedByDysonsWRDSoilCover_CT,T_Q_Shedby_DysonsWRD_SoilCover_CT
EBFR US,In,T_Interflow_Q_fromCovered_DBFP,T_InterflowQFromCoveredDBFP_CT,T_Interflow_Q_fromCovered_DBFP_CT
EBFR US,In,T_Q_Shed_by_DBFPit_SoilCover,T_QShed_by_DBFPit_SoilCover_CT,T_Q_Shed_by_DBFPit_SoilCover_CT
EBFR US,In,T_EWSF_Pond_Overflow_to_GS200,T_EWSFPondOverflow_to_GS200_CT,T_EWSF_Pond_Overflow_to_GS200_CT
EBFR US,In,T_EWSF_E_Runoff_not_collected,T_EWSF_E_RunoffNotCollected_CT,T_EWSF_E_Runoff_not_collected_CT
EBFR US,In,T_WWSF_Q_to_EBFR_Above_GS200,T_WWSF_QtoEBFR_Above_GS200_CT,T_WWSF_Q_to_EBFR_Above_GS200_CT
EBFR US,In,T_Gdw_to_EBFR_Channel_US,T_GdwLoad_to_EBFR_US_to_RiverQ,T_Gdw_to_EBFR_Channel_US_CT
EBFR US,In,,T_GW_Load_Build_Up_EBFR_US,
EBFR US,Out,T_EBFR_US_to_Main_Pit,T_EBFR_US_to_Main_Pit_CT,
EBFR US,Out,T_EBFR_US_to_Diversion,T_EBFR_US_to_Diversion_CT,
Diversion Channel,In,T_Local_Runoff_Diversion,T_Runoff_Diversion_CT,T_Local_Runoff_Diversion_CT
Diversion Channel,In,T_EBFR_US_to_Diversion,T_EBFR_US_to_Diversion_CT,
Diversion Channel,In,T_Main_WRD_Pond_Overflow,T_Main_WRD_Pond_Overflow_CT,
Diversion Channel,In,T_Interflow_Q_from_CoveredMWRD,T_InterflowQFromCoveredMWRD_CT,T_Interflow_Q_from_CoveredMWRD_CT
Diversion Channel,In,T_Q_Shed_by_MainWRD_SoilCover,T_QShedBy_MainWRD_SoilCover_CT,T_Q_Shed_by_MainWRD_SoilCover_CT
Diversion Channel,In,T_Inter_Pit_Overflow,T_Intermediate_Pit_Overflow_CT,T_Inter_Pit_Overflow_CT
Diversion Channel,In,T_InterWRD_Pond_Overflow,T_InterWRD_Pond_Overflow_CT,
Diversion Channel,In,T_InterflowQ_from_Covered_IWRD,T_InterflowQfromCoveredIWRD_CT,T_InterflowQ_from_Covered_IWRD_CT
Diversion Channel,In,T_Q_Shed_by_InterWRD_SoilCover,T_QShedByInterWRDSoilCover_CT,T_Q_Shed_by_InterWRD_SoilCover_CT
Diversion Channel,In,T_Gdw_to_Diversion_Channel,T_GdwLoadTo_DiversionTo_RiverQ,T_Gdw_to_Diversion_Channel_CT
Diversion Channel,In,T_Browns_Release,T_Browns_Release_CT,
Diversion Channel,In,,T_GW_Load_Build_Up_Diversion[SO4],
Diversion Channel,Out,T_Water_Diverted_from_EBFR,T_Diversion_to_IntermPit,T_Water_Diverted_from_EBFR_CT
Diversion Channel,Out,T_Total_Inflow_Diversion,T_Diversion_to_EBFR_DS_CT,T_Total_Inflow_Diversion_CT
EBFR DS,In,T_Total_Inflow_Diversion,T_Diversion_to_EBFR_DS_CT,T_Total_Inflow_Diversion_CT
EBFR DS,In,T_Runoff_GS200_to_GS327,T_Runoff_GS200_to_GS327_CT,
EBFR DS,In,T_DilutionH2O_for_GWTP_Outflow,T_DilutionH2OForGWTPOutflow_CT,T_DilutionH2O_for_GWTP_Outflow_CT
EBFR DS,In,T_GWTP_Effluent_EBFR,T_GWTP_effluent_EBFR_CT,
EBFR DS,In,T_PWTP_Effluent_to_EBFR,T_PWTP_effluent_to_EBFR_CT,
EBFR DS,In,T_EWSF_W_Runoff_not_collected,T_EWSF_W_RunoffNotCollected_CT,T_EWSF_W_Runoff_not_collected_CT
EBFR DS,In,T_EWSF_Pond_Overflow_to_GS327,T_EWSFPondOverflow_to_GS327_CT,T_EWSF_Pond_Overflow_to_GS327_CT
EBFR DS,In,T_Gdw_to_EBFR_Channel_DS,T_GdwLoad_to_EBFR_DS_to_RiverQ,T_Gdw_to_EBFR_Channel_DS_CT
EBFR DS,In,,T_GW_Load_Build_Up_EBFR_DS,
EBFR DS,Out,T_Total_Inflow_at_GS327,T_Total_Inflow_at_GS327_CT,
GS8150097,In,T_Total_Inflow_at_GS327,T_Total_Inflow_at_GS327_CT,
GS8150097,In,T_EBFR_GS8150327_to_GS8150097,T_Runoff_GS097_CT,T_EBFR_GS8150327_to_GS8150097_CT
GS8150097,Out,T_East_Finniss_R_at_GS8150097,T_East_Finniss_R_at_097_CT,T_East_Finniss_R_at_GS8150097_CT
